"id_","area_id_","node_id_","act_date","deact_date","has_loan","is_act"
"1","3","4","02-01-2020","03-01-2020","1","0"
"2","3","5","03-01-2020","17-01-2020","0","1"
"3","5","4","27-01-2020","18-02-2020","0","0"
"4","5","4","07-01-2020","19-01-2020","1","1"
"5","3","3","15-01-2020","23-01-2020","0","1"
"6","1","1","11-01-2020","06-02-2020","1","0"
"7","2","5","20-01-2020","04-02-2020","1","1"
"8","1","2","15-01-2020","28-01-2020","0","0"
"9","4","5","21-01-2020","25-01-2020","1","0"
"10","3","4","13-01-2020","14-01-2020","0","0"
"11","2","5","19-01-2020","25-01-2020","0","1"
"12","1","2","13-01-2020","14-01-2020","0","0"
"13","2","3","02-01-2020","14-01-2020","1","0"
"14","1","2","25-01-2020","25-01-2020","0","0"
"15","1","3","25-01-2020","08-02-2020","0","1"
"16","4","4","13-01-2020","18-01-2020","0","0"
"17","2","3","19-01-2020","27-01-2020","1","0"
"18","1","3","17-01-2020","15-02-2020","0","0"
"19","2","2","17-01-2020","06-02-2020","0","1"
"20","2","4","18-01-2020","09-02-2020","0","1"
"21","3","2","12-01-2020","25-01-2020","1","0"
"22","4","3","19-01-2020","18-02-2020","1","0"
"23","1","5","21-01-2020","15-02-2020","0","1"
"24","2","5","26-01-2020","14-02-2020","0","0"
"25","5","1","28-01-2020","10-02-2020","1","1"
"26","3","3","17-01-2020","25-01-2020","0","1"
"27","4","3","01-01-2020","22-01-2020","1","0"
"28","4","2","20-01-2020","13-02-2020","1","1"
"29","2","3","19-01-2020","31-01-2020","0","0"
"30","2","1","26-01-2020","06-02-2020","1","0"
"31","3","2","06-01-2020","13-01-2020","0","0"
"32","4","4","12-01-2020","14-01-2020","0","1"
"33","3","4","24-01-2020","17-02-2020","0","0"
"34","2","3","30-01-2020","18-02-2020","1","0"
"35","4","5","17-01-2020","15-02-2020","0","0"
"36","2","3","30-01-2020","19-02-2020","0","1"
"37","1","3","29-01-2020","04-02-2020","0","0"
"38","5","1","21-01-2020","14-02-2020","1","0"
"39","5","2","22-01-2020","23-01-2020","0","0"
"40","2","1","21-01-2020","17-02-2020","0","1"
"41","5","1","30-01-2020","26-02-2020","0","1"
"42","4","3","11-01-2020","16-01-2020","1","0"
"43","2","2","28-01-2020","25-02-2020","1","0"
"44","3","1","19-01-2020","09-02-2020","0","1"
"45","2","1","14-01-2020","08-02-2020","0","0"
"46","1","4","23-01-2020","26-01-2020","1","1"
"47","5","4","22-01-2020","26-01-2020","0","1"
"48","5","2","01-01-2020","18-01-2020","1","0"
"49","2","5","04-01-2020","09-01-2020","1","1"
"50","2","5","29-01-2020","06-02-2020","0","0"
"51","1","3","20-01-2020","02-02-2020","1","0"
"52","5","2","12-01-2020","26-01-2020","0","0"
"53","4","1","24-01-2020","29-01-2020","0","1"
"54","4","1","09-01-2020","29-01-2020","0","0"
"55","5","5","25-01-2020","07-02-2020","1","0"
"56","4","4","18-01-2020","20-01-2020","0","0"
"57","5","5","06-01-2020","28-01-2020","0","1"
"58","3","2","11-01-2020","31-01-2020","0","0"
"59","3","1","20-01-2020","03-02-2020","1","0"
"60","5","5","19-01-2020","20-01-2020","0","0"
"61","4","5","21-01-2020","26-01-2020","0","1"
"62","2","1","16-01-2020","11-02-2020","0","1"
"63","1","3","06-01-2020","01-02-2020","1","0"
"64","2","3","08-01-2020","24-01-2020","1","0"
"65","1","3","26-01-2020","17-02-2020","0","1"
"66","1","2","16-01-2020","06-02-2020","0","0"
"67","3","3","22-01-2020","14-02-2020","1","1"
"68","3","3","20-01-2020","18-02-2020","0","1"
"69","1","1","10-01-2020","09-02-2020","1","0"
"70","3","3","08-01-2020","22-01-2020","1","1"
"71","1","3","14-01-2020","31-01-2020","0","0"
"72","3","2","20-01-2020","16-02-2020","1","0"
"73","1","1","06-01-2020","24-01-2020","0","0"
"74","5","1","13-01-2020","06-02-2020","0","1"
"75","4","5","22-01-2020","30-01-2020","0","0"
"76","2","1","04-01-2020","03-02-2020","1","0"
"77","5","4","08-01-2020","16-01-2020","0","0"
"78","5","3","28-01-2020","29-01-2020","0","1"
"79","1","5","29-01-2020","05-02-2020","0","0"
"80","4","3","25-01-2020","16-02-2020","1","0"
"81","1","5","25-01-2020","04-02-2020","0","0"
"82","2","5","09-01-2020","01-02-2020","0","1"
"83","2","1","09-01-2020","01-02-2020","0","1"
"84","1","4","23-01-2020","06-02-2020","1","0"
"85","5","5","11-01-2020","26-01-2020","1","0"
"86","4","3","03-01-2020","25-01-2020","0","1"
"87","2","5","13-01-2020","03-02-2020","0","0"
"88","3","2","12-01-2020","03-02-2020","1","1"
"89","5","2","25-01-2020","02-02-2020","0","1"
"90","4","1","19-01-2020","08-02-2020","1","0"
"91","4","3","11-01-2020","21-01-2020","1","1"
"92","3","3","05-01-2020","29-01-2020","0","0"
"93","4","1","11-01-2020","21-01-2020","1","0"
"94","5","2","01-01-2020","25-01-2020","0","0"
"95","1","2","03-01-2020","21-01-2020","0","1"
"96","3","1","03-01-2020","20-01-2020","0","0"
"97","3","4","04-01-2020","30-01-2020","1","0"
"98","1","5","15-01-2020","28-01-2020","0","0"
"99","2","4","08-01-2020","30-01-2020","0","1"
"100","1","3","06-01-2020","15-01-2020","0","0"
"101","2","3","12-01-2020","19-01-2020","1","0"
"102","1","4","26-01-2020","28-01-2020","0","0"
"103","4","1","07-01-2020","20-01-2020","0","1"
"104","4","4","25-01-2020","12-02-2020","0","1"
"105","1","4","07-01-2020","19-01-2020","1","0"
"106","2","5","24-01-2020","21-02-2020","1","0"
"107","2","4","13-01-2020","07-02-2020","0","1"
"108","1","1","30-01-2020","06-02-2020","0","0"
"109","4","5","01-01-2020","31-01-2020","1","1"
"110","2","1","01-01-2020","07-01-2020","0","1"
"111","4","1","28-01-2020","20-02-2020","1","0"
"112","1","1","08-01-2020","28-01-2020","1","1"
"113","1","4","21-01-2020","31-01-2020","0","0"
"114","1","3","19-01-2020","23-01-2020","1","0"
"115","5","2","29-01-2020","26-02-2020","0","0"
"116","1","2","28-01-2020","29-01-2020","0","1"
"117","5","1","15-01-2020","24-01-2020","0","0"
"118","3","2","03-01-2020","01-02-2020","1","0"
"119","2","4","17-01-2020","06-02-2020","0","0"
"120","1","5","23-01-2020","15-02-2020","0","1"
"121","3","3","01-01-2020","23-01-2020","0","0"
"122","2","3","29-01-2020","01-02-2020","1","0"
"123","4","2","16-01-2020","20-01-2020","0","0"
"124","3","3","01-01-2020","04-01-2020","0","1"
"125","2","5","04-01-2020","26-01-2020","0","1"
"126","4","1","21-01-2020","02-02-2020","1","0"
"127","5","3","17-01-2020","15-02-2020","1","0"
"128","4","1","26-01-2020","25-02-2020","0","1"
"129","3","1","12-01-2020","10-02-2020","0","0"
"130","3","4","02-01-2020","21-01-2020","1","1"
"131","3","4","10-01-2020","28-01-2020","0","1"
"132","4","2","10-01-2020","28-01-2020","1","0"
"133","2","1","10-01-2020","17-01-2020","1","1"
"134","1","2","08-01-2020","28-01-2020","0","0"
"135","5","4","09-01-2020","28-01-2020","1","0"
"136","3","2","11-01-2020","16-01-2020","0","0"
"137","1","3","06-01-2020","13-01-2020","0","1"
"138","4","4","11-01-2020","28-01-2020","0","0"
"139","4","4","10-01-2020","28-01-2020","1","0"
"140","1","5","26-01-2020","10-02-2020","0","0"
"141","3","3","15-01-2020","29-01-2020","0","1"
"142","1","5","16-01-2020","24-01-2020","0","0"
"143","5","5","29-01-2020","05-02-2020","1","0"
"144","3","4","14-01-2020","13-02-2020","0","0"
"145","5","1","02-01-2020","25-01-2020","0","1"
"146","1","5","05-01-2020","24-01-2020","0","1"
"147","1","1","15-01-2020","12-02-2020","1","0"
"148","4","1","12-01-2020","14-01-2020","1","0"
"149","1","1","13-01-2020","25-01-2020","0","1"
"150","2","5","04-01-2020","18-01-2020","0","0"
"151","1","2","10-01-2020","26-01-2020","1","1"
"152","4","1","01-01-2020","15-01-2020","0","1"
"153","3","5","18-01-2020","13-02-2020","1","0"
"154","2","5","15-01-2020","22-01-2020","1","1"
