consumer_id,region_id,node_id,start_date,end_date
1,3,4,02-01-2020,03-01-2020
2,3,5,03-01-2020,17-01-2020
3,5,4,27-01-2020,18-02-2020
4,5,4,07-01-2020,19-01-2020
5,3,3,15-01-2020,23-01-2020
6,1,1,11-01-2020,06-02-2020
7,2,5,20-01-2020,04-02-2020
8,1,2,15-01-2020,28-01-2020
9,4,5,21-01-2020,25-01-2020
10,3,4,13-01-2020,14-01-2020
11,2,5,19-01-2020,25-01-2020
12,1,2,13-01-2020,14-01-2020
13,2,3,02-01-2020,14-01-2020
14,1,2,25-01-2020,25-01-2020
15,1,3,25-01-2020,08-02-2020
16,4,4,13-01-2020,18-01-2020
17,2,3,19-01-2020,27-01-2020
18,1,3,17-01-2020,15-02-2020
19,2,2,17-01-2020,06-02-2020
20,2,4,18-01-2020,09-02-2020
21,3,2,12-01-2020,25-01-2020
22,4,3,19-01-2020,18-02-2020
23,1,5,21-01-2020,15-02-2020
24,2,5,26-01-2020,14-02-2020
25,5,1,28-01-2020,10-02-2020
26,3,3,17-01-2020,25-01-2020
27,4,3,01-01-2020,22-01-2020
28,4,2,20-01-2020,13-02-2020
29,2,3,19-01-2020,31-01-2020
30,2,1,26-01-2020,06-02-2020
31,3,2,06-01-2020,13-01-2020
32,4,4,12-01-2020,14-01-2020
33,3,4,24-01-2020,17-02-2020
34,2,3,30-01-2020,18-02-2020
35,4,5,17-01-2020,15-02-2020
36,2,3,30-01-2020,19-02-2020
37,1,3,29-01-2020,04-02-2020
38,5,1,21-01-2020,14-02-2020
39,5,2,22-01-2020,23-01-2020
40,2,1,21-01-2020,17-02-2020
41,5,1,30-01-2020,26-02-2020
42,4,3,11-01-2020,16-01-2020
43,2,2,28-01-2020,25-02-2020
44,3,1,19-01-2020,09-02-2020
45,2,1,14-01-2020,08-02-2020
46,1,4,23-01-2020,26-01-2020
47,5,4,22-01-2020,26-01-2020
48,5,2,01-01-2020,18-01-2020
49,2,5,04-01-2020,09-01-2020
50,2,5,29-01-2020,06-02-2020
51,1,3,20-01-2020,02-02-2020
52,5,2,12-01-2020,26-01-2020
53,4,1,24-01-2020,29-01-2020
54,4,1,09-01-2020,29-01-2020
55,5,5,25-01-2020,07-02-2020
56,4,4,18-01-2020,20-01-2020
57,5,5,06-01-2020,28-01-2020
58,3,2,11-01-2020,31-01-2020
59,3,1,20-01-2020,03-02-2020
60,5,5,19-01-2020,20-01-2020
61,4,5,21-01-2020,26-01-2020
62,2,1,16-01-2020,11-02-2020
63,1,3,06-01-2020,01-02-2020
64,2,3,08-01-2020,24-01-2020
65,1,3,26-01-2020,17-02-2020
66,1,2,16-01-2020,06-02-2020
67,3,3,22-01-2020,14-02-2020
68,3,3,20-01-2020,18-02-2020
69,1,1,10-01-2020,09-02-2020
70,3,3,08-01-2020,22-01-2020
71,1,3,14-01-2020,31-01-2020
72,3,2,20-01-2020,16-02-2020
73,1,1,06-01-2020,24-01-2020
74,5,1,13-01-2020,06-02-2020
