"id_","t_date","t_type","t_amt","has_credit_card","account_type"
"312","20-01-2020","deposit","485","Yes","Savings"
"376","03-01-2020","deposit","706","No","Current"
"188","13-01-2020","deposit","601","No","Savings"
"138","11-01-2020","deposit","520","No","Salary"
"373","18-01-2020","deposit","596","No","Salary"
"361","12-01-2020","deposit","797","Yes","NRI"
"169","10-01-2020","deposit","628","Yes","Savings"
"402","05-01-2020","deposit","435","Yes","NRI"
"60","19-01-2020","deposit","495","No","Salary"
"378","07-01-2020","deposit","193","No","Current"
"383","26-01-2020","deposit","889","Yes","Current"
"292","10-01-2020","deposit","136","No","Current"
"63","06-01-2020","deposit","234","Yes","Savings"
"499","02-01-2020","deposit","147","Yes","Current"
"130","02-01-2020","deposit","557","Yes","Savings"
"441","12-01-2020","deposit","418","No","Savings"
"53","24-01-2020","deposit","22","No","Savings"
"30","26-01-2020","deposit","33","No","Savings"
"305","09-01-2020","deposit","36","No","Current"
"136","11-01-2020","deposit","882","No","Savings"
"276","07-01-2020","deposit","926","No","Savings"
"410","07-01-2020","deposit","601","Yes","Current"
"152","01-01-2020","deposit","917","No","Savings"
"123","16-01-2020","deposit","423","Yes","Current"
"17","19-01-2020","deposit","465","No","Savings"
"472","18-01-2020","deposit","495","No","Salary"
"100","06-01-2020","deposit","158","No","Salary"
"56","18-01-2020","deposit","864","No","NRI"
"455","07-01-2020","deposit","329","Yes","Savings"
"357","20-01-2020","deposit","780","Yes","NRI"
"480","29-01-2020","deposit","522","Yes","Salary"
"168","13-01-2020","deposit","114","No","Current"
"369","25-01-2020","deposit","376","No","Current"
"338","17-01-2020","deposit","628","Yes","Current"
"296","13-01-2020","deposit","846","No","Savings"
"374","08-01-2020","deposit","117","Yes","Current"
"194","28-01-2020","deposit","137","Yes","Savings"
"135","09-01-2020","deposit","949","Yes","Savings"
"21","12-01-2020","deposit","28","No","Savings"
"69","10-01-2020","deposit","124","No","Savings"
"32","12-01-2020","deposit","812","No","Current"
"206","09-01-2020","deposit","811","No","Savings"
"269","14-01-2020","deposit","654","No","Savings"
"460","29-01-2020","deposit","80","No","Current"
"328","22-01-2020","deposit","393","Yes","Savings"
"407","14-01-2020","deposit","804","No","Current"
"351","03-01-2020","deposit","951","Yes","Savings"
"458","04-01-2020","deposit","715","No","Salary"
"339","10-01-2020","deposit","167","No","Salary"
"496","06-01-2020","deposit","47","No","NRI"
"291","20-01-2020","deposit","930","No","Savings"
"50","29-01-2020","deposit","899","Yes","NRI"
"265","08-01-2020","deposit","699","Yes","Salary"
"266","17-01-2020","deposit","651","Yes","Current"
"93","11-01-2020","deposit","557","No","Current"
"1","02-01-2020","deposit","312","No","Current"
"267","19-01-2020","deposit","31","Yes","Savings"
"366","21-01-2020","deposit","965","No","Current"
"92","05-01-2020","deposit","985","Yes","Savings"
