tr_id,p_id,c_id,tr_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
1,2,2950,25-02-2017 00:00,False,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0
2,3,3120,21-05-2017 00:00,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41701.0
3,37,402,16-10-2017 00:00,False,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0
4,88,3135,31-08-2017 00:00,False,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36145.0
5,78,787,01-10-2017 00:00,True,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42226.0
6,25,2339,08-03-2017 00:00,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,39031.0
7,22,1542,21-04-2017 00:00,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0
8,15,2459,15-07-2017 00:00,False,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0
9,67,1305,10-08-2017 00:00,False,Approved,Solex,Standard,medium,large,1071.23,380.74,33455.0
10,12,3262,30-08-2017 00:00,True,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216.0
11,5,1986,17-01-2017 00:00,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784.0
12,61,2783,05-01-2017 00:00,True,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172.0
13,35,1243,26-02-2017 00:00,True,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527.0
14,16,2717,10-09-2017 00:00,False,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586.0
15,12,247,11-06-2017 00:00,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0
16,3,2961,10-10-2017 00:00,False,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37873.0
17,79,2426,03-04-2017 00:00,False,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,38206.0
18,33,1842,02-06-2017 00:00,False,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0
19,54,2268,06-04-2017 00:00,True,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0
20,25,3002,28-01-2017 00:00,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,37337.0
21,27,1582,09-10-2017 00:00,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334.0
22,37,595,29-06-2017 00:00,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0
23,37,2001,08-04-2017 00:00,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,42145.0
24,82,515,18-10-2017 00:00,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404.0
25,89,2822,11-06-2017 00:00,False,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079.0
26,64,2596,10-01-2017 00:00,False,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,42145.0
27,64,2666,11-04-2017 00:00,True,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,41047.0
28,19,76,23-12-2017 00:00,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,42560.0
29,72,3368,13-10-2017 00:00,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710.0
30,91,1173,15-03-2017 00:00,False,Approved,WeareA2B,Standard,low,medium,642.31,513.85,41922.0
31,88,2810,05-09-2017 00:00,True,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,37539.0
32,1,3214,18-02-2017 00:00,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688.0
33,25,1272,20-03-2017 00:00,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404.0
34,99,2003,28-02-2017 00:00,True,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991.0
35,0,2171,20-08-2017 00:00,False,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0
36,92,3356,07-07-2017 00:00,False,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,37874.0
37,14,1040,09-01-2017 00:00,False,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0
38,2,2916,06-12-2017 00:00,False,Approved,Solex,Standard,medium,medium,71.49,53.62,33549.0
39,12,427,12-09-2017 00:00,False,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38693.0
40,0,2448,28-11-2017 00:00,True,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0
41,44,2570,08-05-2017 00:00,True,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,37668.0
42,79,3398,14-05-2017 00:00,False,Approved,Solex,Touring,medium,large,2083.94,675.03,41533.0
43,76,488,17-03-2017 00:00,False,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,41922.0
44,46,165,22-12-2017 00:00,False,Approved,Solex,Standard,low,medium,1289.85,74.51,37668.0
45,55,2787,07-06-2017 00:00,True,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,42172.0
46,66,3053,20-06-2017 00:00,False,Approved,Solex,Standard,medium,medium,1163.89,589.27,42560.0
47,35,475,07-05-2017 00:00,True,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527.0
48,81,1305,10-06-2017 00:00,True,Approved,Solex,Standard,medium,medium,1151.96,649.49,41009.0
49,86,1251,17-06-2017 00:00,False,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38206.0
50,32,3103,10-05-2017 00:00,False,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337.0
51,77,3108,24-03-2017 00:00,False,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553.0
52,96,857,27-11-2017 00:00,False,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,39427.0
53,6,3455,21-12-2017 00:00,True,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,33549.0
54,27,2549,09-02-2017 00:00,True,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,34527.0
55,0,3140,18-09-2017 00:00,False,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482.0
56,47,3406,14-11-2017 00:00,False,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,35470.0
57,94,2294,30-08-2017 00:00,True,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434.0
58,91,1031,14-11-2017 00:00,False,Approved,Solex,Standard,medium,medium,100.35,75.26,36367.0
59,93,993,15-02-2017 00:00,True,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,38750.0
60,60,3473,18-12-2017 00:00,False,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,41848.0
61,0,1839,24-02-2017 00:00,False,Approved,OHM Cycles,Road,high,large,12.01,7.21,34244.0
62,33,1824,18-12-2017 00:00,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0
63,35,368,17-12-2017 00:00,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688.0
64,0,2000,08-07-2017 00:00,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,39031.0
65,28,825,16-05-2017 00:00,True,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,42696.0
66,86,3315,23-02-2017 00:00,True,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,36367.0
67,2,75,03-07-2017 00:00,True,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0
68,4,1498,30-09-2017 00:00,True,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38258.0
69,38,1612,21-10-2017 00:00,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167.0
70,27,2192,06-05-2017 00:00,True,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334.0
71,54,419,03-01-2017 00:00,False,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0
72,77,3307,09-05-2017 00:00,True,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672.0
73,22,2430,23-07-2017 00:00,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0
74,56,1506,21-01-2017 00:00,True,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707.0
75,58,1346,20-06-2017 00:00,False,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,42295.0
76,22,927,10-03-2017 00:00,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,33552.0
77,50,763,02-06-2017 00:00,False,Approved,WeareA2B,Standard,medium,small,175.89,131.92,37668.0
78,80,2397,07-11-2017 00:00,False,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,36145.0
79,87,102,12-09-2017 00:00,True,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,35667.0
80,15,2884,16-12-2017 00:00,False,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,38693.0
81,84,759,07-10-2017 00:00,True,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879.0
82,21,773,27-04-2017 00:00,True,Approved,Solex,Standard,medium,large,1071.23,380.74,40670.0
83,0,3398,01-04-2017 00:00,True,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,37626.0
84,33,3297,02-11-2017 00:00,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0
85,84,2434,13-02-2017 00:00,True,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339.0
86,1,1861,19-07-2017 00:00,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,38258.0
87,27,1233,23-05-2017 00:00,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,33455.0
88,31,1390,06-08-2017 00:00,False,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,34079.0
89,0,2682,04-04-2017 00:00,True,Approved,OHM Cycles,Road,high,large,12.01,7.21,40303.0
90,62,439,15-08-2017 00:00,True,Approved,Solex,Standard,medium,medium,478.16,298.72,34143.0
91,17,1579,15-04-2017 00:00,True,Approved,Solex,Standard,high,medium,1024.66,614.8,35160.0
92,73,2984,25-07-2017 00:00,True,Approved,Solex,Standard,medium,medium,1945.43,333.18,36668.0
93,33,3470,28-11-2017 00:00,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,36498.0
94,86,1,23-12-2017 00:00,False,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38482.0
95,45,757,26-02-2017 00:00,False,Approved,Solex,Standard,medium,medium,441.49,84.99,34071.0
96,1,1778,21-02-2017 00:00,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,40649.0
97,80,211,31-05-2017 00:00,True,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,38339.0
98,49,333,23-06-2017 00:00,True,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,37823.0
99,95,32,26-03-2017 00:00,False,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,37874.0
100,0,119,31-07-2017 00:00,False,Approved,Solex,Standard,medium,medium,478.16,298.72,36146.0
101,18,2347,27-07-2017 00:00,False,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,42226.0
102,4,2353,14-04-2017 00:00,False,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,40649.0
103,33,788,12-11-2017 00:00,False,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0
104,78,1468,12-09-2017 00:00,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0
